Tabla,Parámetro/Campo,Tipo de dato,Descripción,Ejemplo de valor
TIPO_DOCUMENTO,id,Entero (PK),Identificador único del tipo de documento,1
TIPO_DOCUMENTO,codigo,Texto (UK),Código corto de referencia,CED
TIPO_DOCUMENTO,nombre,Texto,Nombre completo del tipo de documento,Cédula de Ciudadanía
TIPO_CALIFICACION,id,Entero (PK),Identificador único,2
TIPO_CALIFICACION,codigo,Texto (UK),Código corto,FORM
TIPO_CALIFICACION,nombre,Texto,Nombre del tipo de calificación,Evaluación Formativa
TIPO_CALIFICACION,aplica_subnivel,Texto,Subnivel al que aplica esta calificación,"MEDIA,SUPERIOR,BACHILLERATO"
ESTADO_ASISTENCIA,id,Entero (PK),Identificador único,1
ESTADO_ASISTENCIA,codigo,Texto (UK),Código corto del estado,PRES
ESTADO_ASISTENCIA,nombre,Texto,Descripción del estado de asistencia,Presente
ESTADO_ASISTENCIA,tipo,Texto,Clasificación del estado (positivo/negativo),POSITIVO
ESTADO_MATRICULA,id,Entero (PK),Identificador único,3
ESTADO_MATRICULA,codigo,Texto (UK),Código corto,RETIR
ESTADO_MATRICULA,nombre,Texto,Nombre del estado de la matrícula,Retirado
FACTOR_RIESGO,id,Entero (PK),Identificador único del factor de riesgo,4
FACTOR_RIESGO,codigo,Texto (UK),Código interno,ASIS_BAJA
FACTOR_RIESGO,nombre,Texto,Nombre del factor de riesgo,Baja tasa de asistencia
FACTOR_RIESGO,descripcion,Texto largo,Explicación del factor y su impacto en la deserción,Estudiante con menos del 70% de asistencia en el período
ESCALA_CUALITATIVA,id,Entero (PK),Identificador único,5
ESCALA_CUALITATIVA,codigo,Texto (UK),Código de la escala,B
ESCALA_CUALITATIVA,descripcion,Texto,Descripción referencial de la escala,Aplica habilidades en situaciones comunes de forma independiente
ESCALA_CUALITATIVA,equivalencia_numerica,Decimal,Valor numérico equivalente para cálculos de promedio,8.00
ESCALA_CUALITATIVA,subnivel_aplicable,Texto,Subnivel educativo al que aplica esta escala,ELEMENTAL
TIPO_INCIDENTE,id,Entero (PK),Identificador único,2
TIPO_INCIDENTE,codigo,Texto (UK),Código corto,AGRES_VERB
TIPO_INCIDENTE,nombre,Texto,Nombre del tipo de incidente,Agresión verbal entre pares
TIPO_INCIDENTE,descripcion,Texto largo,Descripción detallada del tipo de incidente,Uso de lenguaje inapropiado o insultos entre estudiantes
HABILIDAD_SOCIOEMOCIONAL,id,Entero (PK),Identificador único,3
HABILIDAD_SOCIOEMOCIONAL,codigo,Texto (UK),Código de la habilidad,HS_EMPATIA
HABILIDAD_SOCIOEMOCIONAL,nombre,Texto,Nombre de la habilidad socioemocional priorizada,Empatía y respeto al otro
HABILIDAD_SOCIOEMOCIONAL,descripcion,Texto largo,Descripción de la habilidad a observar y evaluar,Capacidad del estudiante de ponerse en el lugar de sus compañeros
HABILIDAD_SOCIOEMOCIONAL,activa,Booleano,Indica si la habilidad está activa en el período actual,true
CONFIG_SISTEMA,clave,Texto (PK),Identificador único del parámetro del sistema,PORCENTAJE_FORMATIVA
CONFIG_SISTEMA,valor,Texto,Valor del parámetro,70
CONFIG_SISTEMA,descripcion,Texto,Descripción del parámetro,Porcentaje de la evaluación formativa sobre la nota final del período
CONFIG_SISTEMA,actualizado_en,Fecha-hora,Fecha y hora de la última modificación del parámetro,2026-01-15 08:00:00
ANNO_ESCOLAR,id,Entero (PK),Identificador único del año escolar,1
ANNO_ESCOLAR,nombre,Texto,Nombre descriptivo del año lectivo,2025-2026
ANNO_ESCOLAR,fecha_inicio,Fecha,Fecha de inicio del año escolar,2025-09-02
ANNO_ESCOLAR,fecha_fin,Fecha,Fecha de cierre del año escolar,2026-07-11
ANNO_ESCOLAR,activo,Booleano,Indica si es el año escolar actualmente en curso,true
NIVEL_ACADEMICO,id,Entero (PK),Identificador único del nivel,2
NIVEL_ACADEMICO,nombre,Texto,Nombre del nivel educativo,Educación General Básica
NIVEL_ACADEMICO,activo,Booleano,Indica si el nivel está activo en el sistema,true
GRADO_ACADEMICO,id,Entero (PK),Identificador único del grado,8
GRADO_ACADEMICO,nivel_academico_id,Entero (FK),Nivel académico al que pertenece el grado,2
GRADO_ACADEMICO,nombre,Texto,Nombre del grado,8.º de Básica
GRADO_ACADEMICO,subnivel,Texto,Subnivel educativo del grado (determina reglas de evaluación),SUPERIOR
GRADO_ACADEMICO,orden_secuencia,Entero,Posición del grado dentro de la secuencia del nivel,8
GRADO_ACADEMICO,activo,Booleano,Indica si el grado está activo,true
SECCION,id,Entero (PK),Identificador único de la sección,12
SECCION,anno_escolar_id,Entero (FK),Año escolar al que pertenece la sección,1
SECCION,grado_academico_id,Entero (FK),Grado académico de la sección,8
SECCION,paralelo,Texto,Letra identificadora del paralelo,A
SECCION,capacidad,Entero,Número máximo de estudiantes en la sección,35
SECCION,activa,Booleano,Indica si la sección está activa en el año escolar,true
PERSONA,id,Entero (PK),Identificador único de la persona en el sistema,45
PERSONA,tipo_documento_id,Entero (FK),Tipo de documento de identidad de la persona,1
PERSONA,numero_documento,Texto (UK),Número de documento de identidad único,0930456712
PERSONA,nombres,Texto,Nombres de la persona,Juan Carlos
PERSONA,apellidos,Texto,Apellidos de la persona,Pérez Delgado
PERSONA,fecha_nacimiento,Fecha,Fecha de nacimiento de la persona,2013-03-22
PERSONA,correo,Texto,Correo electrónico de contacto,jcperez@gmail.com
PERSONA,telefono,Texto,Teléfono de contacto,0991234567
PERSONA,activa,Booleano,Indica si el registro de persona está activo,true
PERSONA,fecha_creacion,Fecha-hora,Fecha y hora en que se registró la persona,2025-08-10 09:15:00
PERSONA,fecha_actualizacion,Fecha-hora,Fecha y hora de la última actualización del registro,2026-01-05 14:30:00
USUARIO,id,Entero (PK),Identificador único del usuario del sistema,30
USUARIO,persona_id,Entero (FK),Persona asociada a este usuario,45
USUARIO,hash_contrasena,Texto,Hash seguro de la contraseña del usuario,$2b$12$Hk9...
USUARIO,tipo_usuario,Texto,Rol base del usuario en el sistema,ESTUDIANTE
USUARIO,activo,Booleano,Indica si el usuario puede iniciar sesión,true
USUARIO,ultimo_acceso,Fecha-hora,Última vez que el usuario inició sesión,2026-05-20 07:45:00
PERFIL_ESTUDIANTE,id,Entero (PK),Identificador único del perfil estudiantil,18
PERFIL_ESTUDIANTE,persona_id,Entero (FK),Persona vinculada al perfil de estudiante,45
PERFIL_ESTUDIANTE,codigo_estudiante,Texto (UK),Código institucional único del estudiante,EST-2025-0918
PERFIL_ESTUDIANTE,zona_residencia,Texto,Zona geográfica de residencia del estudiante,Urbana
PERFIL_ESTUDIANTE,distancia_institucion_km,Decimal,Distancia en km entre el domicilio y la institución,4.5
PERFIL_ESTUDIANTE,tiene_nee,Booleano,Indica si el estudiante tiene necesidades educativas especiales,false
PERFIL_ESTUDIANTE,tipo_nee,Texto,"Tipo de NEE del estudiante, si aplica",NULL
PERFIL_ESTUDIANTE,activo,Booleano,Indica si el perfil estudiantil está activo en el sistema,true
ROL,id,Entero (PK),Identificador único del rol,3
ROL,codigo,Texto (UK),Código corto del rol,DOC
ROL,nombre,Texto,Nombre descriptivo del rol,Docente
ROL,descripcion,Texto,Descripción de las capacidades del rol,"Acceso a registro de notas, asistencia y conducta de sus secciones asignadas"
